G1QF-HZ21MQ	20250303	7977	OUR HIDDEN HISTORY | SLEEPING WITH THE ENEMY: JEWS AND MIXING (PRE-RECORDED) EP 165	3352
DMK80Twp1SM	20250223	8004	OUR HIDDEN HISTORY | SLEEPING WITH THE ENEMY: JEWS AND MIXING EP 164	6799
8vv8lyh-KvA	20250216	8138	OUR HIDDEN HISTORY | THE MANDINGOS AND THE MOORS EP 163	6483
EwwDXVmX4o8	20250209	8581	OUR HIDDEN HISTORY | THE ROBBERS OF LANDS AND PEOPLE PART 3 EP 162	5593
LyiT7SYHXvg	20250202	8248	OUR HIDDEN HISTORY | THE ROBBERS OF LANDS AND PEOPLE PART 2 (Re-Run)	3054
uUQsMXbKo7Y	20250126	8583	OUR HIDDEN HISTORY | THE ROBBERS OF LANDS AND PEOPLE PART 2 EP 161	5704
CJqT4kRiRtw	20250119	8803	OUR HIDDEN HISTORY | THE ROBBERS OF LANDS AND PEOPLE EP 160	5551
vjsEfU-6lZM	20250112	9010	OUR HIDDEN HISTORY | E/W INDIA COMPANY EP 159	5618
aINHqGWwi4Q	20250105	8150	OUR HIDDEN HISTORY | BLACK BIRDING/CHINOS EP 158	4785
2ip9YpKoOkU	20241229	8990	OUR HIDDEN HISTORY | SLAVE SHIP DESTINATIONS PART 5 EP 157	4216
QJa3l2eTGIM	20241222	8874	"UFOS: UNVEILING THE TRUTH FROM THEN TO NOW" EP 156 #uap #aliens #ufo	5613
oc02b6nvjFQ	20241215	8590	OUR HIDDEN HISTORY | SLAVE SHIP DESTINATIONS PART 4 (RERUN)	3444
O65ug3rsQGU	20241208	8601	OUR HIDDEN HISTORY | SLAVE SHIP DESTINATIONS PART 4 EP 155	4131
ryVUwAh7E7k	20241201	8918	OUR HIDDEN HISTORY | SLAVE SHIP DESTINATIONS PART 3 EP 154	5675
E1et-61vPIE	20241124	8297	OUR HIDDEN HISTORY | SLAVE SHIP DESTINATIONS PART 2 EP 153	3932
Z1bVKZvIMkM	20241117	8916	OUR HIDDEN HISTORY | SLAVE SHIPS: DESTINATIONS EP 152	4454
EOpTeQux8q0	20241110	8508	OUR HIDDEN HISTORY | SLAVE SHIPS: TESTIMONIALS EP 151	4641
yPfk3nm3mHo	20241103	8707	OUR HIDDEN HISTORY | SLAVE SHIPS FOR DUMMIES PART 6 EP 150	4075
DcerYm34ynE	20241027	8881	OUR HIDDEN HISTORY | SLAVE SHIPS FOR DUMMIES PART 5 EP 149	3459
Y1fm3Kk7hZg	20241020	8414	OUR HIDDEN HISTORY | SLAVE SHIPS FOR DUMMIES PART 4 (Re-Run)	2708
p8GJ-9aSsxo	20241013	8250	OUR HIDDEN HISTORY | SLAVE SHIPS FOR DUMMIES PART 4 EP 148	3544
YJZoKk_MZD8	20241006	8845	OUR HIDDEN HISTORY | SLAVE SHIPS FOR DUMMIES PART 3 EP 147	5579
pHX2A_LJbMM	20240929	8008	OUR HIDDEN HISTORY | SLAVE SHIPS FOR DUMMIES PART 2 (RE-RUN)	3438
nhowblrO1e0	20240922	8023	OUR HIDDEN HISTORY | SLAVE SHIPS FOR DUMMIES PART 2 EP 146	4603
1SBbipshR2E	20240915	8319	OUR HIDDEN HISTORY | SLAVE SHIPS FOR DUMMIES EP 145	4125
TqwmRiqTFYU	20240908	8130	OUR HIDDEN HISTORY | FURTHER FLIGHT INTO AFRICA PART 2 EP 144	3207
MwRGOMqtqWU	20240901	6893	OUR HIDDEN HISTORY | FURTHER FLIGHT INTO AFRICA EP 143	3416
7Z-D8UvO1pg	20240825	7773	OUR HIDDEN HISTORY | THE BIG THREE: ISLAM'S DARK SECRETS PART 5 EP 142	3957
qKNb11bY-EM	20240818	8650	OUR HIDDEN HISTORY | THE BIG THREE: ISLAM'S DARK SECRETS PART 4 EP 141	3717
bXts_fs8PR8	20240816	4210	Mike Africa Jr On Philly Move Bombing & The Move 9	885
VXuJoEoDTsE	20240814	696	MIKE AFRICA EXPLAINS WHAT THE PHILLY M.O.V.E. MOVEMENT ACTUALLY STOOD FOR #MOVEMOVEMENT	477
pkknj2TYfYA	20240728	8391	OUR HIDDEN HISTORY | Beyond Chains: The Genius of the Enslaved Mind Part 2 EP 140	2198
i2uzPSJZzqg	20240721	7875	OUR HIDDEN HISTORY | Beyond Chains: The Genius of the Enslaved Mind EP 139	2602
g0JX4blJp1w	20240714	7738	OUR HIDDEN HISTORY | THE BIG THREE: ISLAM'S DARK SECRETS PART 3 EP 138	3940
tSbg2mE_hBU	20240616	8714	OUR HIDDEN HISTORY | THE BIG THREE: ISLAM'S DARK SECRETS PART 2 EP 137	9058
1PjTWJ0FRuM	20240505	7662	OUR HIDDEN HISTORY | THE BIG THREE: ISLAM'S DARK SECRETS EP 136	9077
JSRX-pGCSvo	20240428	8234	OUR HIDDEN HISTORY: THE BIG THREE: ISHMAEL EP 135	10841
a4BQHaANSfE	20240421	8101	OHH: The Close Relationship Between Ishmael, Esau and Moab: The Big Three EP 134	14746
KgxnpzSMDf8	20240407	7368	OUR HIDDEN HISTORY-THE ARABS, ISLAM AND THE TRANS-SAHARAN SLAVE TRADE PART 3 EP 133	2161
2V0QnBD64uA	20240331	8616	OUR HIDDEN HISTORY-THE ARABS, ISLAM AND THE TRANS-SAHARAN SLAVE TRADE PART 2 EP 132	2398
rGXI-MGM3WQ	20240325	2924	OUR HIDDEN HISTORY-THE ARABS, ISLAM AND THE TRANS-SAHARAN SLAVE TRADE EP 131	1108
fh6idI6zsKw	20240325	5309	OUR HIDDEN HISTORY-THE ARABS, ISLAM AND THE TRANS-SAHARAN SLAVE TRADE EP 129	2233
0w-xjRbsj-w	20240317	8321	(Re-Run) OUR HIDDEN HISTORY-ECHOES OF ROME: FROM BLACK RULERS TO BLACK SLAVES IN ITALY PT. 2	787
bP-8-4FcQGE	20240225	8349	OUR HIDDEN HISTORY-ECHOES OF ROME: FROM BLACK RULERS TO BLACK SLAVES IN ITALY PT. 2 EP 128	2302
eRxU8lK57Aw	20240218	8483	OUR HIDDEN HISTORY-ECHOES OF ROME: FROM BLACK RULERS TO BLACK SLAVES IN ITALY EP 127	2594
e029INRf0zM	20240211	8459	OHH-ECHOES OF ROME: THE THIRD PERSECUTION AND THE CYRENIAN REVOLT PART 3 EP 126	1363
iRSZ1SPOWKE	20240204	8479	OHH-ECHOES OF ROME: THE THIRD PERSECUTION AND THE CYRENIAN REVOLT PART 3 EP 125	1804
bXBHxAjHwlQ	20240128	7968	OHH-ECHOES OF ROME: THE THIRD PERSECUTION AND THE CYRENIAN REVOLT PART 2 EP 124	2260
Nb7cizqutwI	20240121	8518	OHH-ECHOES OF ROME: THE THIRD PERSECUTION AND THE CYRENIAN REVOLT EP 123	2054
E7-7zy0If38	20240114	7672	(Re-run)OHH-ECHOES OF ROME: THE APOSTOLIC SUCCESSION AND THE TRAINING FOR MARTYRDOM	1128
oX_p6koVq5o	20240107	8057	OHH-ECHOES OF ROME: THE APOSTOLIC SUCCESSION AND THE TRAINING FOR MARTYRDOM EP 122	2745
UqOEbapXlZo	20231224	7486	OHH-ECHOES OF ROME:THE SHORT REIGN OF TITUS AND DOMITIAN AND THE CHRISTIAN PERSECUTION PART 2 EP 121	2449
XKayeO48HUk	20231217	8424	OHH-ECHOES OF ROME: THE SHORT REIGN OF TITUS AND DOMITIAN AND THE CHRISTIAN PERSECUTION EP 120	1367
UOCSvYBlaN8	20231210	8171	OHH-ECHOES OF ROME: THE 7TH FEATHER: VESPASIAN'S CONQUEST AND THE FALL OF JERUSALEM PART 4 EP 119	1285
eYVesBpJ0qM	20231203	8365	OHH-ECHOES OF ROME: THE 7TH FEATHER: VESPASIAN'S CONQUEST AND THE FALL OF JERUSALEM PART 3 EP 118	1373
pD5zgCAmim4	20231126	8105	OHH-ECHOES OF ROME: THE 7TH FEATHER: VESPASIAN'S CONQUEST AND THE FALL OF JERUSALEM PART 2 EP 117	1229
jW84l36Cnmc	20231119	8356	OHH-ECHOES OF ROME:THE 7TH FEATHER:VESPASIAN'S CONQUEST AND THE FALL OF JERUSALEM EP 116	1106
cUubbnXbaZA	20231112	8251	OHH-ECHOES OF ROME: THE CHAOS THAT LEAD UP TO 70AD EP 115	1006
0WsIEVjRGos	20231105	8282	OHH-ECHOES OF ROME: THE 6TH FEATHER OF ROME AND THE MARTYRDOM OF THE APOSTLES EP 114	1204
59_BasytD3M	20231029	8199	OHH-ECHOES OF ROME:THE 6TH FEATHER OF ROME AND THE MARTYRDOM OF THE APOSTLES EP 113	1417
ZEproEaZako	20231023	4697	(Re-run)OHH-ECHOES OF ROME:THE RISE OF THE 5TH FEATHER CLAUDIUS CAESAR AND THE TRAVELS OF THE APO…	314
zphtjZTwz_M	20231023	3579	(Re-run)OHH-ECHOES OF ROME:THE RISE OF THE 5TH FEATHER CLAUDIUS CAESAR AND THE TRAVELS OF THE APO…	278
3GmGJGwZPao	20231015	8018	(Re-Run) OHH-ECHOES OF ROME:THE RISE OF THE 5TH FEATHER CLAUDIUS CAESAR AND THE TRAVELS OF THE AP…	501
snJYKEYNOjA	20231008	8045	OHH-ECHOES OF ROME:THE RISE OF THE 5TH FEATHER CLAUDIUS CAESAR AND THE TRAVEL OF THE APOSTLES EP 112	1154
